,Código,0 - 14,15 - 64,65 y más,Total
183,0200810,2476.0,7356.0,1839.0,11671.0
184,0200811,2111.0,7309.0,1687.0,11107.0
185,0200812,1206.0,4249.0,994.0,6449.0
186,0200813,1114.0,3667.0,932.0,5713.0
187,0200814,3807.0,8780.0,1132.0,13719.0
188,0200815,6107.0,11529.0,489.0,18125.0
189,0200816,2463.0,5709.0,1050.0,9222.0
190,0200817,577.0,1902.0,611.0,3090.0
191,0200901,980.0,3894.0,1125.0,5999.0
192,0200902,1689.0,6534.0,1812.0,10035.0
193,0200903,1490.0,6028.0,1808.0,9326.0
194,0200904,1519.0,5848.0,1767.0,9134.0
195,0200905,1596.0,6310.0,1732.0,9638.0
196,0200906,1865.0,7089.0,1869.0,10823.0
197,0200907,1700.0,6785.0,2236.0,10721.0
198,0200908,2061.0,7398.0,1808.0,11267.0
199,0200909,2037.0,7142.0,1842.0,11021.0
200,0200910,1622.0,5991.0,1655.0,9268.0
201,0200911,2343.0,8135.0,2105.0,12583.0
202,0200912,1893.0,6736.0,1701.0,10330.0
203,0200913,1441.0,4681.0,1076.0,7198.0
204,0200914,3898.0,9074.0,878.0,13850.0
205,0200915,1920.0,6136.0,1437.0,9493.0
206,0200916,2217.0,7049.0,1845.0,11111.0
207,0201001,1070.0,4177.0,1277.0,6524.0
208,0201002,1093.0,4544.0,1258.0,6895.0
209,0201003,1046.0,4012.0,1220.0,6278.0
210,0201004,1293.0,4968.0,1283.0,7544.0
211,0201005,1871.0,7335.0,2095.0,11301.0
212,0201006,1848.0,7476.0,1994.0,11318.0
213,0201007,1755.0,7440.0,1809.0,11004.0
214,0201008,1464.0,5887.0,1568.0,8919.0
215,0201009,1487.0,5598.0,1424.0,8509.0
216,0201010,1749.0,6692.0,1925.0,10366.0
217,0201011,1762.0,6395.0,1463.0,9620.0
218,0201012,1249.0,4772.0,1263.0,7284.0
219,0201013,1273.0,5509.0,1715.0,8497.0
220,0201014,1498.0,5710.0,1445.0,8653.0
221,0201015,1111.0,4786.0,1142.0,7039.0
222,0201016,1308.0,5295.0,1441.0,8044.0
223,0201017,1498.0,5659.0,1343.0,8500.0
224,0201018,1480.0,6190.0,1752.0,9422.0
225,0201019,1776.0,6853.0,1676.0,10305.0
226,0201101,1426.0,6230.0,1833.0,9489.0
227,0201102,1485.0,6276.0,1637.0,9398.0
228,0201103,1276.0,5512.0,1899.0,8687.0
229,0201104,1536.0,6520.0,2222.0,10278.0
230,0201105,1264.0,5354.0,1553.0,8171.0
231,0201106,1459.0,6017.0,1669.0,9145.0
232,0201107,1680.0,7986.0,1687.0,11353.0
233,0201108,1110.0,4897.0,1456.0,7463.0
234,0201109,1243.0,5781.0,1737.0,8761.0
235,0201110,1255.0,5643.0,1577.0,8475.0
236,0201111,1314.0,5065.0,1203.0,7582.0
237,0201112,1139.0,4567.0,1248.0,6954.0
238,0201113,1215.0,5614.0,2047.0,8876.0
239,0201114,1199.0,4582.0,1381.0,7162.0
240,0201115,1579.0,6563.0,1745.0,9887.0
241,0201116,1404.0,5114.0,1358.0,7876.0
242,0201117,1304.0,4723.0,1202.0,7229.0
243,0201118,1505.0,5553.0,1275.0,8333.0
244,0201119,1246.0,5014.0,1265.0,7525.0
245,0201120,1577.0,5959.0,1261.0,8797.0
246,0201121,1562.0,5977.0,1394.0,8933.0
247,0201122,1588.0,6369.0,1501.0,9458.0
248,0201201,1347.0,5641.0,1589.0,8577.0
249,0201202,1222.0,4879.0,1426.0,7527.0
250,0201203,1741.0,6046.0,1476.0,9263.0
251,0201204,1318.0,5373.0,1353.0,8044.0
252,0201205,1305.0,6041.0,1291.0,8637.0
253,0201206,1331.0,5527.0,1389.0,8247.0
254,0201207,1341.0,6308.0,1524.0,9173.0
255,0201208,1517.0,6467.0,1447.0,9431.0
256,0201209,1131.0,4595.0,1208.0,6934.0
257,0201210,1612.0,6360.0,1590.0,9562.0
258,0201211,1455.0,5903.0,1484.0,8842.0
259,0201212,959.0,4767.0,1083.0,6809.0
260,0201213,1001.0,4759.0,1312.0,7072.0
261,0201214,1351.0,6039.0,1783.0,9173.0
262,0201215,1770.0,7547.0,2158.0,11475.0
263,0201216,1810.0,8668.0,1980.0,12458.0
264,0201217,1297.0,5523.0,1338.0,8158.0
265,0201218,1787.0,7254.0,2039.0,11080.0
266,0201219,1976.0,7803.0,2198.0,11977.0
267,0201220,1234.0,5387.0,1407.0,8028.0
268,0201221,1331.0,5996.0,1641.0,8968.0
269,0201222,1693.0,7043.0,1945.0,10681.0
270,0201301,1230.0,6274.0,1777.0,9281.0
271,0201302,1435.0,6134.0,1411.0,8980.0
272,0201303,1328.0,5617.0,1051.0,7996.0
273,0201304,1528.0,7433.0,1934.0,10895.0
274,0201305,1107.0,5325.0,1206.0,7638.0
275,0201306,1026.0,4826.0,1307.0,7159.0
276,0201307,1112.0,4888.0,1410.0,7410.0
277,0201308,1111.0,5325.0,1365.0,7801.0
278,0201309,955.0,4899.0,1326.0,7180.0
279,0201310,1301.0,6309.0,1411.0,9021.0
280,0201311,717.0,3208.0,923.0,4848.0
281,0201312,1213.0,5111.0,1071.0,7395.0
282,0201313,1457.0,7069.0,1956.0,10482.0
283,0201314,938.0,4340.0,1705.0,6983.0
284,0201315,1024.0,5565.0,1971.0,8560.0
285,0201316,1165.0,5984.0,1832.0,8981.0
286,0201317,1272.0,6207.0,1612.0,9091.0
287,0201318,1204.0,5124.0,1636.0,7964.0
288,0201319,1194.0,5334.0,1824.0,8352.0
289,0201320,1020.0,5329.0,1649.0,7998.0
290,0201321,1090.0,4723.0,1722.0,7535.0
291,0201322,1001.0,4716.0,1513.0,7230.0
292,0201323,1030.0,5808.0,1806.0,8644.0
293,0201324,1162.0,5032.0,1360.0,7554.0
294,0201325,885.0,4151.0,1062.0,6098.0
295,0201326,1149.0,5365.0,1480.0,7994.0
296,0201327,960.0,5020.0,1669.0,7649.0
297,0201328,827.0,4273.0,1318.0,6418.0
298,0201329,1242.0,5696.0,1256.0,8194.0
299,0201401,1277.0,5936.0,1963.0,9176.0
300,0201402,1183.0,5501.0,1625.0,8309.0
301,0201403,1247.0,6071.0,1664.0,8982.0
302,0201404,1134.0,6445.0,1648.0,9227.0
303,0201405,1257.0,5863.0,1316.0,8436.0
304,0201406,935.0,5762.0,1198.0,7895.0
305,0201407,994.0,5023.0,951.0,6968.0
306,0201408,811.0,4872.0,982.0,6665.0
307,0201409,1730.0,7921.0,1454.0,11105.0
308,0201410,1.0,20.0,4.0,25.0
309,0201411,1458.0,7171.0,1596.0,10225.0
310,0201412,747.0,4770.0,1214.0,6731.0
311,0201413,1057.0,5460.0,1238.0,7755.0
312,0201414,838.0,5463.0,1163.0,7464.0
313,0201415,768.0,5107.0,1470.0,7345.0
314,0201416,905.0,3999.0,1187.0,6091.0
315,0201417,926.0,4290.0,1234.0,6450.0
316,0201418,757.0,4486.0,1562.0,6805.0
317,0201419,551.0,3689.0,981.0,5221.0
318,0201420,646.0,4155.0,1119.0,5920.0
319,0201421,810.0,4749.0,1102.0,6661.0
320,0201422,1013.0,5948.0,1399.0,8360.0
321,0201423,955.0,6060.0,1174.0,8189.0
322,0201424,658.0,3926.0,917.0,5501.0
323,0201425,553.0,3931.0,1150.0,5634.0
324,0201426,739.0,4831.0,1400.0,6970.0
325,0201427,535.0,3857.0,1116.0,5508.0
326,0201428,1031.0,5427.0,1894.0,8352.0
327,0201429,897.0,5344.0,1393.0,7634.0
328,0201430,1092.0,5127.0,1705.0,7924.0
329,0201431,1262.0,5441.0,1739.0,8442.0
330,0201501,1570.0,6265.0,1657.0,9492.0
331,0201502,1043.0,4364.0,1292.0,6699.0
332,0201503,1831.0,7432.0,1859.0,11122.0
333,0201504,1734.0,7255.0,1625.0,10614.0
334,0201505,1672.0,7133.0,1985.0,10790.0
335,0201506,659.0,2929.0,832.0,4420.0
336,0201507,1887.0,7108.0,1769.0,10764.0
337,0201508,1556.0,6085.0,1312.0,8953.0
338,0201509,1350.0,4576.0,764.0,6690.0
339,0201510,1572.0,7004.0,1767.0,10343.0
340,0201511,1788.0,7386.0,1554.0,10728.0
341,0201512,973.0,4473.0,956.0,6402.0
342,0201513,984.0,4612.0,1068.0,6664.0
343,0201514,1358.0,6184.0,1410.0,8952.0
344,0201515,1334.0,6011.0,1367.0,8712.0
345,0201516,1414.0,6102.0,1431.0,8947.0
346,0201517,1315.0,6344.0,1581.0,9240.0
347,0201518,1087.0,5032.0,1316.0,7435.0
348,0201519,1070.0,5467.0,1543.0,8080.0
349,0201520,1227.0,5939.0,1380.0,8546.0
350,0201521,1328.0,6401.0,1252.0,8981.0
